Taxonomy,Method,Citation_Key,Reproduced,Setup,Bottle,Cable,Capsule,Carpet,Grid,Hazelnut,Leather,Metal_Nut,Pill,Screw,Tile,Toothbrush,Transistor,Wood,Zipper,Mean
VLM-based,WinCLIP,jeong2023WINCLIP,FALSE,1-shot,98.20 ± 0.90,88.90 ± 1.90,72.30 ± 6.80,99.80 ± 0.30,99.50 ± 0.30,97.50 ± 1.40,99.90 ± 0.00,98.70 ± 0.80,91.20 ± 2.10,86.40 ± 0.90,99.90 ± 0.00,92.20 ± 4.90,83.40 ± 3.80,99.90 ± 0.10,88.80 ± 5.90,93.10 ± 2.00
VLM-based,WinCLIP,jeong2023WINCLIP,FALSE,2-shot,99.30 ± 0.30,88.40 ± 0.70,77.30 ± 8.80,99.80 ± 0.30,99.40 ± 0.20,98.30 ± 0.70,99.90 ± 0.00,99.40 ± 0.20,92.30 ± 0.70,86.00 ± 2.10,99.90 ± 0.20,97.50 ± 1.60,85.30 ± 1.70,99.90 ± 0.10,94.00 ± 1.40,94.40 ± 1.30
VLM-based,WinCLIP,jeong2023WINCLIP,FALSE,4-shot,99.30 ± 0.40,90.90 ± 0.90,82.30 ± 8.90,100.00 ± 0.00,99.60 ± 0.10,98.40 ± 0.40,100.00 ± 0.00,99.50 ± 0.20,92.80 ± 1.00,87.90 ± 1.20,99.90 ± 0.10,96.70 ± 2.60,85.70 ± 2.50,99.80 ± 0.30,94.50 ± 0.50,95.20 ± 1.30
VLM-based,PromptAD,li2024PROMPTAD,TRUE,1-shot,99.92,91.21,87.40,100.00,99.50,100.00,100.00,99.46,93.48,63.80,99.93,98.06,87.96,99.39,95.96,94.40
VLM-based,PromptAD,li2024PROMPTAD,TRUE,2-shot,99.60,95.30,90.75,100.00,99.92,99.75,100.00,100.00,94.93,62.98,100.00,98.06,90.83,98.86,96.82,95.19
VLM-based,PromptAD,li2024PROMPTAD,TRUE,4-shot,99.60,90.74,92.22,100.00,100.00,99.64,100.00,100.00,92.99,75.67,100.00,96.94,92.38,99.21,97.37,95.78
VLM-based,IIPAD,lv2025OAFSAD,TRUE,1-shot,99.80,88.80,82.30,100.00,98.30,98.20,100.00,99.40,96.60,75.50,99.80,92.80,89.10,99.60,88.40,93.90
VLM-based,IIPAD,lv2025OAFSAD,TRUE,2-shot,99.90,92.10,93.50,100.00,98.00,98.50,100.00,99.70,96.90,79.30,99.70,92.20,90.00,99.90,96.10,95.70
VLM-based,IIPAD,lv2025OAFSAD,TRUE,4-shot,99.20,93.90,95.30,100.00,97.00,98.60,100.00,99.80,96.90,82.00,99.90,92.20,89.30,99.40,97.00,96.00
VLM-based,OTN,li2024OPFSAD,FALSE,2-shot,,,,,,,,,,,,,,,,95.10 ± 0.90
VLM-based,OTN,li2024OPFSAD,FALSE,4-shot,,,,,,,,,,,,,,,,95.60 ± 1.20
VLM-based,OTN,li2024OPFSAD,FALSE,8-shot,,,,,,,,,,,,,,,,96.20 ± 0.80
Residual-based,InCTRL,zhu2024TGADIC,TRUE,2-shot,99.05,91.72,80.77,99.92,97.08,98.39,100.00,100.00,95.20,70.65,99.86,95.00,85.54,97.63,92.59,93.56
Residual-based,InCTRL,zhu2024TGADIC,TRUE,4-shot,99.21,92.15,90.95,99.36,98.83,100.00,100.00,100.00,95.20,71.41,99.93,96.39,86.29,98.07,93.15,94.73
Residual-based,InCTRL,zhu2024TGADIC,TRUE,8-shot,99.37,92.92,91.82,99.84,98.91,99.75,100.00,100.00,97.74,71.74,99.86,94.72,81.92,98.07,95.27,94.80
Residual-based,ResAD,yao2024RESAD,FALSE,2-shot,,,,,,,,,,,,,,,,94.40
Residual-based,ResAD,yao2024RESAD,FALSE,4-shot,,,,,,,,,,,,,,,,94.20
Residual-based,NAGL,wang2026NAGGAD,FALSE,1-shot,99.20 ± 0.90,93.10 ± 0.90,91.50 ± 7.10,100.00 ± 0.00,99.80 ± 0.20,99.50 ± 0.40,100.00 ± 0.00,99.40 ± 0.10,93.60 ± 1.60,77.20 ± 0.90,99.80 ± 0.10,99.40 ± 0.20,86.10 ± 4.20,99.80 ± 0.10,99.10 ± 0.20,95.80 ± 0.70
Residual-based,NAGL,wang2026NAGGAD,FALSE,2-shot,99.20 ± 1.00,93.70 ± 0.40,90.80 ± 8.30,100.00 ± 0.00,99.90 ± 0.10,99.80 ± 0.10,100.00 ± 0.00,99.80 ± 0.10,95.50 ± 1.60,86.00 ± 0.90,99.90 ± 0.10,99.40 ± 0.70,88.00 ± 4.10,99.80 ± 0.10,99.50 ± 0.20,96.80 ± 0.80
Residual-based,NAGL,wang2026NAGGAD,FALSE,4-shot,99.80 ± 0.20,94.70 ± 0.70,97.40 ± 1.00,100.00 ± 0.00,99.80 ± 0.30,99.80 ± 0.20,100.00 ± 0.00,99.80 ± 0.00,95.30 ± 1.40,84.40 ± 4.20,100.00 ± 0.00,99.80 ± 0.20,85.70 ± 5.90,99.80 ± 0.30,99.50 ± 0.20,97.10 ± 0.60
